Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35130,HEDE BAZOUGES,35630,BAZOUGES SOUS HEDE,HEDE BAZOUGES,"48.3018808207,-1.77748405021",35
35130,HEDE BAZOUGES,35630,"",HEDE BAZOUGES,"48.3018808207,-1.77748405021",35
35258,ST BRIEUC DES IFFS,35630,"",ST BRIEUC DES IFFS,"48.3034329234,-1.84362998531",35
35167,MARTIGNE FERCHAUD,35640,"",MARTIGNE FERCHAUD,"47.8281952315,-1.32808258577",35
35114,FORGES LA FORET,35640,"",FORGES LA FORET,"47.8618191863,-1.29350551765",35
35077,CHELUN,35640,"",CHELUN,"47.8550873481,-1.24349817887",35
35103,EANCE,35640,"",EANCE,"47.8237855193,-1.25227628941",35
35240,LE RHEU,35650,MOIGNE,LE RHEU,"48.097397419,-1.78149989185",35
35240,LE RHEU,35650,"",LE RHEU,"48.097397419,-1.78149989185",35
35064,LA CHAPELLE DE BRAIN,35660,"",LA CHAPELLE DE BRAIN,"47.6972959919,-1.93416464602",35
35064,LA CHAPELLE DE BRAIN,35660,BRAIN SUR VILAINE,LA CHAPELLE DE BRAIN,"47.6972959919,-1.93416464602",35
35145,LANGON,35660,"",LANGON,"47.733471612,-1.87194975237",35
35237,RENAC,35660,"",RENAC,"47.7276163658,-1.9661103542",35
35097,DOMALAIN,35680,"",DOMALAIN,"47.9990883279,-1.23942096028",35
35198,MOULINS,35680,"",MOULINS,"48.0087571587,-1.36287785518",35
35220,PIRE CHANCE,35680,CHANCE,PIRE CHANCE,"48.0111877546,-1.42837195377",35
35161,LOUVIGNE DE BAIS,35680,"",LOUVIGNE DE BAIS,"48.0522095083,-1.33866165819",35
35014,BAIS,35680,"",BAIS,"48.0108227925,-1.30560487998",35
35350,VERGEAL,35680,"",VERGEAL,"48.0357832819,-1.25557177588",35
35001,ACIGNE,35690,"",ACIGNE,"48.1464008617,-1.51879762112",35
35238,RENNES,35700,"",RENNES,"48.1119791219,-1.68186449144",35
35225,PLESDER,35720,"",PLESDER,"48.4180951281,-1.93003326564",35
35226,PLEUGUENEUC,35720,"",PLEUGUENEUC,"48.4045431671,-1.88606418202",35
35308,MESNIL ROC H,35720,ST PIERRE DE PLESGUEN,MESNIL ROC H,"48.4550260435,-1.88873891943",35
35308,MESNIL ROC H,35720,LANHELIN,MESNIL ROC H,"48.4550260435,-1.88873891943",35
35308,MESNIL ROC H,35720,TRESSE,MESNIL ROC H,"48.4550260435,-1.88873891943",35
35228,PLEURTUIT,35730,"",PLEURTUIT,"48.5827256783,-2.05991444738",35
35210,PACE,35740,"",PACE,"48.152548244,-1.77716643787",35
35026,BLERUAIS,35750,"",BLERUAIS,"48.116030785,-2.11549706882",35
35277,ST GONLAY,35750,"",ST GONLAY,"48.1132469608,-2.07658788542",35
35290,ST MALON SUR MEL,35750,"",ST MALON SUR MEL,"48.0944048491,-2.11182383067",35
35295,ST MAUGAN,35750,"",ST MAUGAN,"48.1367408206,-2.10234592553",35
35133,IFFENDIC,35750,"",IFFENDIC,"48.1137342706,-2.02411746064",35
35189,MONTGERMONT,35760,"",MONTGERMONT,"48.1538376773,-1.71729477816",35
35278,ST GREGOIRE,35760,"",ST GREGOIRE,"48.1588840471,-1.68571943452",35
35352,VERN SUR SEICHE,35770,"",VERN SUR SEICHE,"48.0525245014,-1.60521106164",35
35241,LA RICHARDAIS,35780,"",LA RICHARDAIS,"48.6095815819,-2.04362780576",35
35256,ST BRIAC SUR MER,35800,"",ST BRIAC SUR MER,"48.6163388225,-2.12358766004",35
35093,DINARD,35800,"",DINARD,"48.6241805945,-2.0619828606",35
35287,ST LUNAIRE,35800,"",ST LUNAIRE,"48.620460045,-2.09655988835",35
35024,BETTON,35830,"",BETTON,"48.1812360423,-1.64589552684",35
35144,LANGAN,35850,"",LANGAN,"48.2363756072,-1.84565830249",35
35120,GEVEZE,35850,"",GEVEZE,"48.2133254705,-1.79930703575",35
35135,IRODOUER,35850,"",IRODOUER,"48.246152189,-1.95021443067",35
35216,PARTHENAY DE BRETAGNE,35850,"",PARTHENAY DE BRETAGNE,"48.1884515911,-1.829797127",35
35245,ROMILLE,35850,"",ROMILLE,"48.2223488257,-1.87904298142",35
35181,LE MINIHIC SUR RANCE,35870,"",LE MINIHIC SUR RANCE,"48.5755697077,-2.01309736708",35
